AZ,ITD150,ITD400,ITD600,ITD1000,sdITD150,sdITD400,sdITD600,sdITD1000,,ITD,2sdITD150,2sdITD400,2sdITD600,2sdITD1000
36,415.6764863,480.8109462,422.9051969,387.6432167,132.9438127,80.00605421,38.61473209,59.71095606,,-310,107.0224538,64.30631434,32.15281917,57.43596897
37,422.3661621,492.0186369,433.12203,398.526214,137.3480481,80.0714872,39.49735018,59.15071307,,-305,106.2358933,63.47898069,31.88253659,57.57771133
38,428.6804247,503.1658166,442.9591936,409.2241274,141.8394723,80.0762518,40.42518353,58.41584306,,-300,105.4444523,62.64639835,31.61701555,57.79044479
39,434.9211479,514.1376638,452.5321114,419.780439,146.1742358,80.09751782,41.37866499,57.68042812,,-295,104.6447969,61.81139833,31.35775328,58.0612635
40,441.3902058,524.8193572,461.9562075,430.2386305,150.1084893,80.21245508,42.33822742,57.11855032,,-290,103.8319236,60.9768092,31.10658275,58.37590481
41,448.3264022,535.1339719,471.3258547,440.6315228,153.4613868,80.48095027,43.28615982,56.86463433,,-285,103.0002446,60.14545041,30.86523112,58.719328
42,455.7162615,545.1561686,480.6512216,450.949291,156.3040968,80.8937575,44.21217582,56.89447518,,-280,102.1460567,59.3201342,30.63417975,59.07523308
43,463.483238,554.9985045,489.9214254,461.1714493,158.7707914,81.42434772,45.10784521,57.14421048,,-275,101.269144,58.50340857,30.41330522,59.42681212
44,471.550786,564.7735368,499.1255837,471.2775115,160.9956425,82.04619191,45.96473778,57.54997786,,-270,100.3702439,57.69483643,30.20209601,59.75801054
45,479.8423597,574.5938225,508.2528137,481.2469918,163.1128222,82.73276104,46.77442332,58.04791493,,-265,99.45288526,56.89209416,29.99969908,60.05410909
46,488.2982552,584.5410909,517.2956816,491.0653213,165.2322863,83.46046234,47.53129172,58.58383774,,-260,98.52168594,56.09278819,29.80506368,60.30798173
47,496.9261346,594.5737594,526.260548,500.7415996,167.3671264,84.2174482,48.24101339,59.14227608,,-255,97.58301086,55.29422726,29.61690279,60.5161421
48,505.7505016,604.6194176,535.1572226,510.2908436,169.506218,84.99480728,48.91207883,59.71743817,,-250,96.64398342,54.49358659,29.43384375,60.67581067
49,514.79586,614.6056549,543.9955149,519.7280702,171.6384363,85.78362824,49.55297856,60.30353222,,-245,95.71172373,53.68798062,29.25439909,60.78453989
50,524.0867136,624.4600609,552.7852342,529.0682962,173.7526568,86.57499974,50.17220309,60.89476645,,-240,94.79306061,52.8742685,29.07706723,60.83985912
51,533.647566,634.1102251,561.5361902,538.3265384,175.8377548,87.36001045,50.77824292,61.48534909,,-235,93.89235947,52.04923987,28.90033906,60.83929814
52,543.5029212,643.483737,570.2581923,547.5178138,177.8826059,88.12974903,51.37958858,62.06948834,,-230,93.01245952,51.2094259,28.72246712,60.78054971
53,553.6772828,652.508186,578.9610499,556.6571391,179.8760853,88.87530413,51.98473056,62.64139244,,-225,92.15225683,50.35082608,28.54092654,60.66142078
54,564.1951545,661.1111618,587.6545727,565.7595313,181.8070685,89.58776442,52.60215939,63.19526959,,-220,91.30772983,49.46934514,28.35307482,60.47987353
55,575.0810402,669.2202538,596.3485701,574.8400071,183.6644309,90.25821856,53.24036557,63.72532802,,-215,90.47536503,48.56037202,28.15654745,60.23400941
56,586.3340618,676.7834939,605.0430449,583.9022525,185.4401358,90.87956325,53.90563366,64.22555075,,-210,89.65267892,47.61885541,27.94910195,59.92233179
57,597.8518148,683.8306836,613.6987731,592.90463,187.1384982,91.45192735,54.59542435,64.68902,,-205,88.83735781,46.64121058,27.72866093,59.54378411
58,609.5065127,690.4120666,622.2667239,601.7941709,188.766921,91.97724775,55.30499241,65.10859278,,-200,88.02756614,45.62999257,27.49330929,59.09739553
59,621.1703691,696.5778867,630.6978668,610.5179069,190.3328071,92.45746135,56.02959257,65.47712612,,-195,87.22168666,44.58940091,27.24115595,58.58229735
60,632.7155976,702.3783879,638.9431711,619.0228694,191.8435595,92.89450503,56.76447958,65.78747705,,-190,86.41814513,43.52478163,26.97035953,57.99767033
61,644.0144118,707.8638138,646.9536059,627.25609,193.3065811,93.29031569,57.50490818,66.03250257,,-185,85.61545743,42.44258373,26.67909897,57.34280058
