azim,150,400,500,600,1000
73,793.46,752.1,738.95,702.26,686.23
74,797.9,755.98,742.21,705.22,689.64
75,802.05,759.77,745.28,707.96,692.91
76,805.96,763.5,748.2,710.52,696.07
77,809.67,767.17,751,712.94,699.14
78,813.23,770.8,753.71,715.26,702.14
79,816.69,774.4,756.36,717.5,705.09
80,820.11,777.99,758.98,719.72,708.02
81,823.52,781.59,761.6,721.93,710.95
82,826.99,785.19,764.25,724.17,713.91
83,830.55,788.82,766.96,726.49,716.91
84,834.26,792.49,769.76,728.91,719.98
85,838.17,796.22,772.68,731.47,723.14
86,842.32,800.01,775.76,734.21,726.41
87,846.76,803.89,779.01,737.17,729.82
88,851.55,807.86,782.48,740.37,733.38
89,856.72,811.93,786.19,743.85,737.13
90,862.34,816.13,790.17,747.65,741.09
