,muP,sP,Nsig,Mean_Abs,Std_Corr
529,0.0,25.0,3.8000000000000003,307.3340128960649,
530,0.0,25.0,4.0,310.71343584703686,1.0
531,0.0,25.0,4.2,313.931102129192,
532,0.0,25.0,4.4,316.9989761247179,0.9999999999999999
533,0.0,25.0,4.6000000000000005,319.927847837778,
534,0.0,25.0,4.800000000000001,322.72747505392044,0.9999999999999999
535,0.0,25.0,5.0,325.40670513216094,
536,0.0,25.0,5.2,327.97357978395115,0.9999999999999999
537,0.0,25.0,5.4,330.43542557223384,
538,0.0,25.0,5.6000000000000005,332.7989323698729,1.0
539,0.0,25.0,5.800000000000001,335.0702216215444,
540,0.0,25.0,6.0,337.2549059351473,0.9999999999999999
541,0.0,25.0,6.2,339.3581412714868,
